"index","sample","centered"
"1536","139","0"
"1537","141","2"
"1538","139","0"
"1539","141","2"
"1540","145","6"
"1541","139","0"
"1542","141","2"
"1543","140","1"
"1544","141","2"
"1545","142","3"
"1546","139","0"
"1547","141","2"
"1548","139","0"
"1549","139","0"
"1550","148","9"
"1551","142","3"
"1552","141","2"
"1553","141","2"
"1554","139","0"
"1555","138","-1"
"1556","141","2"
"1557","141","2"
"1558","140","1"
"1559","139","0"
"1560","141","2"
"1561","142","3"
"1562","139","0"
"1563","139","0"
"1564","138","-1"
"1565","141","2"
"1566","142","3"
"1567","141","2"
"1568","142","3"
"1569","139","0"
"1570","140","1"
"1571","141","2"
"1572","140","1"
"1573","138","-1"
"1574","139","0"
"1575","140","1"
"1576","139","0"
"1577","139","0"
"1578","140","1"
"1579","141","2"
"1580","141","2"
"1581","141","2"
"1582","139","0"
"1583","138","-1"
"1584","140","1"
"1585","142","3"
"1586","141","2"
"1587","142","3"
"1588","140","1"
"1589","140","1"
"1590","140","1"
"1591","139","0"
"1592","141","2"
"1593","141","2"
"1594","139","0"
"1595","139","0"
"1596","141","2"
"1597","141","2"
"1598","140","1"
"1599","140","1"
"1600","140","1"
"1601","138","-1"
"1602","142","3"
"1603","139","0"
"1604","140","1"
"1605","142","3"
"1606","140","1"
"1607","141","2"
"1608","142","3"
"1609","138","-1"
"1610","141","2"
"1611","139","0"
"1612","141","2"
"1613","138","-1"
"1614","142","3"
"1615","139","0"
"1616","141","2"
"1617","141","2"
"1618","138","-1"
"1619","141","2"
"1620","139","0"
"1621","138","-1"
"1622","137","-2"
"1623","138","-1"
"1624","141","2"
"1625","139","0"
